회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member
1021475584,정상회원,기타-기타,여,57,미신청,.,normal
1021718720,정상회원,기타-기타,여,59,미신청,.,normal
1021731712,정상회원,기타-기타,여,56,미신청,.,normal
102178368,정상회원,수지구-풍덕천동,여,43,미신청,.,normal
1021813376,정상회원,기타-기타,여,55,미신청,.,normal
1022654144,정상회원,수지구-성복동,여,57,미신청,.,normal
1023006784,정상회원,수지구-상현동,여,39,미신청,.,normal
1023025344,정상회원,수지구-동천동,여,67,미신청,.,normal
1023027200,정상회원,수지구-동천동,여,45,미신청,.,normal
1023108864,정상회원,수지구-풍덕천동,여,36,미신청,수신,normal
1023140416,정상회원,수지구-풍덕천동,여,47,미신청,.,normal
1023218368,정상회원,수지구-상현동,여,47,미신청,.,normal
102328704,정상회원,기타-기타,남,44,미신청,.,normal
1023609984,정상회원,수지구-동천동,여,40,미신청,.,normal
1023613696,정상회원,수지구-동천동,여,49,미신청,.,normal
1023877248,정상회원,서울 송파구-기타,여,35,미신청,.,normal
1024036864,정상회원,수지구-동천동,여,60,미신청,.,normal
1024111104,정상회원,수지구-상현동,여,49,미신청,.,normal
1024185344,정상회원,수지구-상현동,여,64,미신청,.,normal
1024207616,정상회원,기타-기타,여,57,미신청,.,normal
1024281856,정상회원,수지구-동천동,여,39,신청,.,normal
1024437760,정상회원,서울 송파구-기타,여,38,미신청,.,normal
1024471168,정상회원,수지구-동천동,여,41,미신청,.,normal
1024500864,정상회원,수지구-풍덕천동,여,45,미신청,수신,normal
1024532416,정상회원,수지구-신봉동,여,43,미신청,.,normal
1024565824,정상회원,수지구-동천동,여,57,미신청,.,normal
1024695744,정상회원,분당구-구미동,여,36,미신청,.,normal
1024703168,정상회원,기타-기타,여,36,미신청,.,normal
1024706880,정상회원,수지구-풍덕천동,여,38,미신청,수신,normal
1024710592,정상회원,수지구-성복동,여,47,미신청,.,normal
1024729152,정상회원,수지구-동천동,여,74,신청,.,normal
1024911040,정상회원,수지구-신봉동,여,43,미신청,수신,normal
1025014976,정상회원,기타-기타,여,43,미신청,수신,normal
1025100352,정상회원,기타-기타,여,42,미신청,.,normal
1025156032,정상회원,수지구-상현동,여,39,미신청,.,normal
1025189440,정상회원,수지구-상현동,여,53,미신청,.,normal
1025295232,정상회원,수원 팔달구-기타,여,37,미신청,.,normal
1025464128,정상회원,수지구-신봉동,여,74,미신청,.,normal
1025506816,정상회원,수지구-성복동,여,58,미신청,.,normal
102560704,정상회원,수지구-풍덕천동,여,52,미신청,.,normal
1025699840,정상회원,수지구-신봉동,여,48,미신청,.,normal
1025809344,정상회원,수지구-상현동,여,48,미신청,.,normal
1025878016,정상회원,기타-기타,여,45,미신청,.,normal
1026117440,정상회원,수지구-동천동,여,74,미신청,.,normal
1026139712,정상회원,수지구-동천동,여,43,미신청,.,normal
1026202816,정상회원,수지구-성복동,여,37,신청,.,normal
1026275200,정상회원,수지구-동천동,여,54,미신청,.,normal
1026351296,정상회원,수지구-동천동,여,47,미신청,.,normal
1026403264,정상회원,수지구-신봉동,여,43,미신청,.,normal
1026546176,정상회원,수원 영통구-기타,여,35,미신청,.,normal
1026590720,정상회원,수지구-풍덕천동,여,39,미신청,.,normal
1026698368,정상회원,수지구-성복동,여,49,미신청,.,normal
1026819008,정상회원,수지구-동천동,여,56,미신청,.,normal
1026846848,정상회원,수지구-동천동,여,66,미신청,.,normal
1027136384,정상회원,서울 강남구-기타,여,39,미신청,.,normal
1027277440,정상회원,수지구-신봉동,여,44,미신청,.,normal
1027535424,정상회원,수지구-동천동,여,43,미신청,.,normal
1027546560,정상회원,수지구-풍덕천동,여,53,미신청,.,normal
1027607808,정상회원,기타-기타,여,39,미신청,.,normal
1027657920,정상회원,수지구-죽전동,여,49,미신청,.,normal
1027696896,정상회원,수지구-성복동,여,41,미신청,.,normal
1027758144,정상회원,수지구-동천동,여,54,미신청,.,normal
1027806400,정상회원,수지구-풍덕천동,여,41,미신청,.,normal
1027817536,정상회원,수지구-성복동,여,71,미신청,.,normal
1027990144,정상회원,수지구-풍덕천동,여,43,미신청,.,normal
1027992000,정상회원,수지구-동천동,여,67,미신청,.,normal
1028053248,정상회원,수지구-신봉동,여,44,미신청,.,normal
1028092224,정상회원,수지구-동천동,여,39,미신청,수신,normal
1028131200,정상회원,수지구-동천동,여,38,미신청,.,normal
1028144192,정상회원,수지구-풍덕천동,여,36,미신청,.,normal
1028175744,정상회원,수지구-상현동,여,55,미신청,수신,normal
1028244416,정상회원,기흥구-마북동,여,38,미신청,.,normal
1028268544,정상회원,화성-기타,여,41,미신청,.,normal
1028272256,정상회원,기타-기타,남,52,미신청,.,normal
1028298240,정상회원,분당구-수내동,여,48,미신청,.,normal
1028376192,정상회원,수지구-풍덕천동,여,40,미신청,.,normal
1028496832,정상회원,기흥구-보정동,여,35,미신청,.,normal
1028782656,정상회원,수지구-상현동,남,40,미신청,.,normal
1028825344,정상회원,수지구-풍덕천동,여,49,미신청,.,normal
1028957120,정상회원,수지구-신봉동,여,55,미신청,.,normal
1028960832,정상회원,수지구-동천동,여,55,미신청,.,normal
1029005376,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1029083328,정상회원,분당구-정자동,여,33,미신청,.,normal
102911488,정상회원,분당구-구미동,여,59,미신청,.,normal
1029179840,정상회원,수지구-풍덕천동,여,55,미신청,.,normal
1029203968,정상회원,기타-기타,여,42,미신청,.,normal
1029320896,정상회원,수지구-신봉동,여,45,미신청,.,normal
1029415552,정상회원,기타-기타,여,41,미신청,.,normal
1029848000,정상회원,수지구-풍덕천동,여,55,미신청,.,normal
1030087424,정상회원,기흥구-중동,여,57,미신청,.,normal
103013568,정상회원,수지구-상현동,여,55,미신청,.,normal
1030271168,정상회원,수지구-상현동,여,44,미신청,.,normal
1030382528,정상회원,분당구-수내동,여,46,미신청,.,normal
1030503168,정상회원,수지구-신봉동,여,50,신청,.,normal
1030573696,정상회원,기타-기타,여,64,미신청,.,normal
1030716608,정상회원,수지구-동천동,남,29,미신청,.,normal
1030729600,정상회원,분당구-기타,여,47,미신청,.,normal
1030818688,정상회원,수지구-동천동,여,44,미신청,.,normal
1030965312,정상회원,수지구-상현동,여,59,신청,.,normal
1031186176,정상회원,수지구-풍덕천동,여,51,신청,.,normal
1031195456,정상회원,수지구-동천동,여,45,미신청,수신,normal
1031245568,정상회원,수지구-상현동,남,52,미신청,.,normal
1031767104,정상회원,수지구-성복동,여,40,미신청,.,normal
1031806080,정상회원,중원구-금광동,여,57,미신청,.,normal
1031863616,정상회원,수지구-상현동,여,55,미신청,.,normal
1031948992,정상회원,수지구-동천동,여,44,미신청,.,normal
1032097472,정상회원,수지구-풍덕천동,여,47,미신청,.,normal
1032179136,정상회원,수지구-풍덕천동,여,42,신청,.,normal
1032255232,정상회원,분당구-정자동,여,45,미신청,.,normal
1032466816,정상회원,수지구-풍덕천동,여,39,미신청,.,normal
1032552192,정상회원,수지구-동천동,여,59,미신청,.,normal
1032606016,정상회원,기타-기타,여,41,미신청,.,normal
1032641280,정상회원,수지구-동천동,여,38,미신청,.,normal
1032734080,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1033040320,정상회원,기흥구-보정동,남,39,미신청,.,normal
1033086720,정상회원,수지구-죽전동,여,37,미신청,.,normal
1033149824,정상회원,수지구-성복동,여,40,신청,.,normal
1033227776,정상회원,수지구-신봉동,여,62,미신청,.,normal
1033379968,정상회원,수지구-풍덕천동,여,38,미신청,.,normal
1033548864,정상회원,수지구-동천동,여,67,미신청,.,normal
1033682496,정상회원,기타-기타,여,40,미신청,수신,normal
1033853248,정상회원,수지구-상현동,여,44,미신청,.,normal
1033962752,정상회원,수지구-상현동,여,42,미신청,.,normal
1033999872,정상회원,수지구-동천동,여,42,미신청,.,normal
1034508416,정상회원,수지구-풍덕천동,여,54,미신청,.,normal
1034569664,정상회원,수지구-신봉동,여,66,미신청,.,normal
1034619776,정상회원,기타-기타,여,36,신청,.,normal
1034623488,정상회원,수지구-신봉동,여,40,미신청,.,normal
1034656896,정상회원,분당구-수내동,여,47,미신청,.,normal
1034675456,정상회원,수지구-동천동,여,40,미신청,.,normal
1034790528,정상회원,기타-기타,여,65,미신청,.,normal
1034840640,정상회원,기흥구-보정동,여,47,미신청,.,normal
1035028096,정상회원,수원 영통구-기타,여,44,미신청,.,normal
1035380736,정상회원,수지구-풍덕천동,여,57,미신청,.,normal
1035466112,정상회원,수지구-풍덕천동,여,47,미신청,수신,VIP
1035627584,정상회원,수지구-상현동,여,45,미신청,.,normal
1035751936,정상회원,수지구-풍덕천동,여,50,신청,.,normal
1035777920,정상회원,수지구-풍덕천동,여,72,미신청,.,normal
1036134272,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1036163968,정상회원,수지구-동천동,여,43,미신청,.,normal
1036201088,정상회원,기흥구-보정동,여,48,미신청,.,normal
1036336576,정상회원,수지구-풍덕천동,여,52,신청,.,normal
1036403392,정상회원,수지구-신봉동,여,44,미신청,.,normal
1036759744,정상회원,수지구-신봉동,여,41,미신청,.,normal
1036906368,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
103700288,정상회원,수지구-풍덕천동,여,59,신청,.,normal
1037078976,정상회원,기타-기타,여,32,미신청,.,normal
1037275712,정상회원,수원 영통구-기타,남,45,미신청,.,normal
1037502144,정상회원,기흥구-동백동,여,38,미신청,.,normal
1037607936,정상회원,수지구-신봉동,여,51,미신청,.,normal
1037708160,정상회원,분당구-판교동,여,56,미신청,.,normal
1037819520,정상회원,수지구-상현동,여,41,미신청,.,normal
1037945728,정상회원,기타-기타,여,54,미신청,수신,normal
1037997696,정상회원,수지구-동천동,여,61,미신청,.,normal
1038044096,정상회원,수원 영통구-기타,여,50,미신청,수신,normal
1038073792,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1038135040,정상회원,수지구-상현동,여,51,미신청,.,normal
1038166592,정상회원,수지구-동천동,여,41,미신청,.,normal
1038391168,정상회원,수지구-상현동,여,44,미신청,.,normal
1038448704,정상회원,수지구-상현동,여,44,미신청,.,normal
1038548928,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1038571200,정상회원,수지구-동천동,여,44,미신청,.,normal
1038591616,정상회원,수지구-동천동,여,37,미신청,.,normal
1038741952,탈퇴,수지구-동천동,여,49,미신청,.,normal
1038955392,정상회원,수지구-상현동,여,62,미신청,.,normal
1039222656,정상회원,수지구-상현동,여,38,미신청,.,normal
1039235648,정상회원,수지구-상현동,여,54,미신청,.,normal
1039248640,정상회원,기흥구-동백동,여,37,미신청,.,normal
1039376704,정상회원,화성-기타,여,38,미신청,.,normal
1039577152,정상회원,수지구-신봉동,여,40,신청,.,normal
1039597568,정상회원,수지구-신봉동,여,44,미신청,.,normal
1039623552,정상회원,수지구-성복동,여,36,미신청,.,normal
1039677376,정상회원,수지구-동천동,여,53,미신청,.,normal
1039751616,정상회원,수지구-신봉동,여,49,미신청,.,normal
1039816576,정상회원,분당구-정자동,여,51,미신청,.,normal
1039853696,정상회원,서울 강남구-기타,여,68,신청,.,normal
1039965056,정상회원,수지구-풍덕천동,여,40,미신청,.,normal
1039972480,정상회원,수지구-상현동,여,42,미신청,수신,VIP
1040081984,정상회원,수지구-동천동,여,43,미신청,수신,normal
1040111680,정상회원,처인구-역북동,여,35,미신청,.,normal
1040210048,정상회원,수지구-동천동,여,42,미신청,수신,normal
1040260160,정상회원,기타-기타,여,43,미신청,.,normal
1040393792,정상회원,수지구-상현동,여,37,미신청,.,normal
1040436480,정상회원,수지구-동천동,여,40,미신청,수신,normal
1040722304,정상회원,수원 영통구-기타,여,48,미신청,.,normal
1040816960,정상회원,수지구-상현동,여,35,미신청,.,normal
1040880064,정상회원,수지구-성복동,여,39,미신청,수신,normal
1041203008,정상회원,수지구-기타,여,38,미신청,.,normal
